QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,resp_A,resp_B,resp_C,resp_D,total_responses,pct_A,pct_B,pct_C,pct_D
562,886,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",243,Direct Proportion,D,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 6.55 \),\( 4.27 \),\( 5 \),\( 3.82 \),2433.0,,2433.0,,13,47,19,6,85,15.294117647058824,55.294117647058826,22.35294117647059,7.0588235294117645
563,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,A,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",\( r=\frac{p+5}{3} \),\( r=p+5 \div 3 \),\( r=\frac{p-5}{3} \),\( r=p-5 \div 3 \),,2586.0,1971.0,,52,3,1,4,60,86.66666666666667,5.0,1.6666666666666667,6.666666666666667
564,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,C,Multiply out the brackets: \( -5(m-7) \),\( 5 m+35 \),\( -5 m-35 \),\( -5 m+35 \),\( 5 m-35 \),974.0,1597.0,,,5,6,16,62,89,5.617977528089887,6.741573033707865,17.97752808988764,69.66292134831461
565,513,Raise an integer to a positive non-unit fraction power,247,Laws of Indices,A,\( (16)^{\frac{5}{2}}=? \),\( 1024 \),\( \frac{80}{32} \),\( 20 \),\( 40 \),,,823.0,1072.0,262,302,340,565,1469,17.835262083049695,20.558202859087814,23.14499659632403,38.46153846153847
566,1523,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,60,Rearranging Formula and Equations,A,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,,483.0,483.0,,50,6,7,6,69,72.46376811594203,8.695652173913043,10.144927536231885,8.695652173913043
567,1277,Multiply an integer and an algebraic term ,51,Expanding Double Brackets,B,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( x+2 \),\( -2 x \),\( x-2 \),\( +2 x \),,,2143.0,583.0,172,583,104,137,996,17.269076305220885,58.53413654618473,10.441767068273093,13.755020080321284
568,400,Calculate unit fractions of an amount,225,Fractions of an Amount,B,\( \frac{1}{7} \) of \( 56= \),\( 7 \),\( 8 \),\( 9 \),\( 49 \),,,,2154.0,123,20,20,21,184,66.84782608695652,10.869565217391305,10.869565217391305,11.41304347826087
569,1758,Find missing angles on parallel lines using corresponding angles,182,Angle Facts with Parallel Lines,A,"Calculate the missing angle: ![Two vertical lines marked with arrows are crossed by one diagonal line. Two angles are marked; they are both on the upper side of the diagonal line and to the right of the vertical lines. One is marked '70', the other '?'. ]()",\( 70^{\circ} \),\( 110^{\circ} \),\( 290^{\circ} \),\( 220^{\circ} \),,236.0,48.0,,74,184,1009,194,1461,5.065023956194388,12.594113620807665,69.06228610540725,13.27857631759069
570,3030,Use the prime factor decomposition of a number to calculate the number,219,Factors and Highest Common Factor,B,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",\( 11 \),\( 66 \),\( 16 \),\( 132 \),262.0,,1079.0,2003.0,46,36,190,69,341,13.48973607038123,10.557184750733137,55.718475073313776,20.234604105571847
571,210,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",213,"Rounding to the Nearest Whole (10, 100, etc)",C,What is \( 646 \) rounded to the nearest \( 20 \) ?,\( 650 \),\( 620 \),\( 640 \),\( 600 \),1861.0,,,1163.0,8,7,12,11,38,21.052631578947366,18.421052631578945,31.57894736842105,28.947368421052634
572,210,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",213,"Rounding to the Nearest Whole (10, 100, etc)",A,What is \( 623 \) rounded to the nearest \( 50 \) ?,\( 600 \),\( 700 \),\( 620 \),\( 650 \),,2392.0,1248.0,1988.0,189,27,18,22,256,73.828125,10.546875,7.03125,8.59375
573,963,Identify perpendicular lines written in any other form,263,Perpendicular Lines,A,"Which of the following lines is perpendicular to
\(y=5 \text { ? }\)",\( x=-27 \),\( y=-5 \),\( y=\frac{1}{5} \),\( y=-\frac{1}{5} \),,,,2214.0,4,53,3,3,63,6.349206349206349,84.12698412698413,4.761904761904762,4.761904761904762
574,2456,Identify the net of a non-prism,85,Nets,A,Which diagram is the net for a square based pyramid?,![Net showing a square and four triangles](),![Net showing a square and four rectangles](),![Net showing two squares and four rectangles](),![Net showing three squares and two triangles](),,690.0,690.0,690.0,78,519,62,132,791,9.860935524652339,65.61314791403287,7.83817951959545,16.68773704171934
575,433,Subtract proper fractions with different denominators where one is a multiple of the other,230,Adding and Subtracting Fractions,D,"\(
\frac{3}{4}-\frac{1}{12}=\frac{2}{\bigstar}
\)

What should replace the star?",\( 12 \),\( 48 \),\( 8 \),\( 3 \),2234.0,2234.0,,,46,7,3,4,60,76.66666666666667,11.666666666666666,5.0,6.666666666666667
576,217,Round numbers to one decimal place,214,Rounding to Decimal Places,D,"\[
34590.8549
\]
What is this number rounded to \( 1 \) decimal place?",\( 34590.8 \),\( 30000 \),\( 34591.9 \),\( 34590.9 \),1379.0,2392.0,1675.0,,36,37,75,171,319,11.285266457680251,11.598746081504702,23.510971786833856,53.60501567398119
577,328,Identify rational and irrational numbers,1082,Recurring Decimals to Fractions,D,"Which of these two numbers are rational?
\(
\pi \text { and } \frac{1}{\pi}
\)",\( \pi \),\( \frac{1}{\pi} \),Both,Neither,2537.0,2537.0,2537.0,,14,31,470,43,558,2.5089605734767026,5.555555555555555,84.22939068100358,7.706093189964158
578,1428,Factorise a quadratic expression in the form x² + bx + c,53,Factorising into a Double Bracket,D,"Factorise this expression, if possible:
\(
p^{2}+2 p+3
\)",\( (p+2)(p+1) \),\( (p+3)(p+1) \),\( (p+3)(p-1) \),Does not factorise,2256.0,1535.0,418.0,,189,102,471,1105,1867,10.123192287091591,5.463310123192287,25.22763792179968,59.18585966791644
579,968,Interpret the graphical solution to a pair of linear simultaneous equations from a diagram,264,Graphical Solution of Simultaneous Equations,C,"The cost of journeys from two taxi companies is shown on the diagram.

After how many miles is Company P more expensive than Company Q? ![A graph showing Cost (£) on the y axis and Distance (miles) on the x axis. Y axis from 0 to 30, each square goes up by 5,  and x axis from 0 to 6, each square goes up by 1. A blue line slopes upwards from left to right, from (0, 10). It is labelled 'Company Q'. A red line slopes upwards from left to right, from (0,0). It is labelled 'Company P'. Both lines go through (5, 20)]()",\( 10 \),\( 6 \),\( 5 \),\( 20 \),,,,11.0,1,118,4,1,124,0.8064516129032258,95.16129032258065,3.225806451612903,0.8064516129032258
580,3316,Recognise and use efficient methods for mental multiplication,204,Mental Multiplication and Division,C,"Tom and Katie are discussing ways to calculate \( 59 \times 4 \) mentally
Tom doubles \( 59 \) and then doubles the answer
Katie does \( 60 \times 4 \) and then subtracts \( 4 \) from the answer
Who would get the correct answer?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,1066.0,1534.0,,,108,79,338,41,566,19.081272084805654,13.957597173144876,59.717314487632514,7.243816254416961
581,471,Recognise cube numbers,173,Other Sequences,C,"\[
1,8,27,64, \ldots
\]

What is the name given to this sequence of numbers?",The square numbers,The odd numbers,The cube numbers,The triangular numbers,478.0,421.0,,2489.0,42,27,510,75,654,6.422018348623854,4.128440366972478,77.98165137614679,11.46788990825688
582,1440,Complete the square for expressions that end up in the form a(x + b)² + c,256,Completing the Square,A,"When Aaron completes the square, what should replace the triangle?
\(
3 g^{2}-18 g-7 \equiv 3(g-3)^{2} \triangle
\)",\( \triangle=-34 \),\( \triangle=-16 \),\( \triangle=-25 \),\( \triangle=-88 \),,2131.0,2316.0,2114.0,8,43,6,4,61,13.114754098360656,70.49180327868852,9.836065573770492,6.557377049180328
583,2031,Convert between m and mm,195,Length Units,A,\( 4 m \) is the same as ___ \( mm \),\( 4000 \),\( 40000 \),\( 40 \),\( 400 \),,1870.0,,,7,10,57,12,86,8.13953488372093,11.627906976744185,66.27906976744185,13.953488372093023
584,2609,Calculate missing lengths of shapes by counting squares,86,Perimeter,B,"John is labelling the lengths of the sides of this shape. ![A hexagon with one side, length 3 squares, labelled 6cm. The side labelled with the gold star is 1 square in length.]() What should replace the star?",\( 1 \mathrm{~cm} \),\( 2 \mathrm{~cm} \),\( 3 \mathrm{~cm} \),\( 0.5 \mathrm{~cm} \),229.0,,,2226.0,39,2,4,7,52,75.0,3.8461538461538463,7.6923076923076925,13.461538461538462
585,1453,Solve linear simultaneous equations requiring a scaling of one expression,63,Simultaneous Equations,A,"What is a correct solution for the following pair of simultaneous equations:
\[4x+y=7\]
\[3x+2y=4\]",\( \begin{array}{l}x=2 \\ y=-1\end{array} \),\( \begin{array}{l}x=3 \\ y=-5\end{array} \),\( \begin{array}{l}x=0.6 \\ y=4.6\end{array} \),\( \begin{array}{l}x=10 \\ y=-33\end{array} \),,512.0,512.0,512.0,182,96,9,27,314,57.961783439490446,30.573248407643312,2.8662420382165608,8.598726114649681
586,722,Write a surd in the form √a in a simplified form,248,Simplifying Surds,C,Simplify \( \sqrt{48} \) as much as possible,\( 16 \sqrt{3} \),\( 4 \sqrt{12} \),\( 4 \sqrt{3} \),\( 2 \sqrt{12} \),2384.0,,,2020.0,5,10,65,3,83,6.024096385542169,12.048192771084338,78.3132530120482,3.614457831325301
587,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,D,"Problem P: \( 6 \div 3+5= \)
Problem Q: \( 6 \div 3 \times 5= \)

Which calculation should you do first in each problem?","Problem P: \( 3+5 \)
Problem Q: \( 3 \times 5 \)","Problem P: \( 3+5 \)
Problem Q: \( 6 \div 3 \)","Problem P: \( 6 \div 3 \)
Problem Q: \( 3 \times 5 \)","Problem P: \( 6 \div 3 \)
Problem Q: \( 6 \div 3 \)",706.0,15.0,2306.0,,130,23,3,21,177,73.44632768361582,12.994350282485875,1.694915254237288,11.864406779661017
588,3144,Change decimals of hours into minutes,209,Time,A,\( 0.2 \) hours \( = _______ \) minutes,\( 12 \),\( 20 \),\( 2 \),\( 120 \),,161.0,767.0,,779,68,284,155,1286,60.57542768273717,5.287713841368585,22.08398133748056,12.052877138413685
589,1795,Use facts about interior angles in polygons with algebra to write expressions,183,Angles in Polygons,A,"What is the size of angle \( s \) ? ![4 angles on an irregular quadrilateral these are labelled s, 2s, 2s, and 3s]()",\( 45^{\circ} \),\( 51.4^{\circ} \),\( 60^{\circ} \),Not enough information,,528.0,,,145,111,239,97,592,24.493243243243242,18.75,40.37162162162162,16.385135135135133
590,3339,Identify mathematical instruments and their functions,190,Construct Angle,B,What is the name of the mathematical instrument used to construct circles?,Callipers,Compass,Protractor,Slide rule,295.0,,295.0,295.0,3010,64,22,191,3287,91.5728627928202,1.9470641922725889,0.6693033160937024,5.810769698813507
591,2282,Calculate the surface area of a cuboid where the dimensions are given in the same units,188,Surface Area of Prisms,A,Which calculation would give you the area of the face of this cuboid labelled \( Q \) ('the top')? ![A cuboid with dimensions 6cm by 3cm by 4 cm. The top face Q is marked. It is a rectangle with dimensions 6cm by 3cm.](),\( 6 \mathrm{~cm} \times 3 \mathrm{~cm} \),\( 4 \mathrm{~cm} \times 3 \mathrm{~cm} \),\( 6 \mathrm{~cm} \times 4 \mathrm{~cm} \),\( 6 \mathrm{~cm} \times 4 \mathrm{~cm} \times 3 \mathrm{~cm} \),,910.0,910.0,648.0,15,41,25,47,128,11.71875,32.03125,19.53125,36.71875
592,1738,Use a protractor to measure angles between 180° and 270°,180,Measuring Angles,D,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out an angle being measured by the protractor. The outer scale goes from 0 to 360, clockwise. The angle is a reflex angle that is between the red line that is at 0 (outer scale) and 180 (inner scale) on the protractor and goes clockwise round to the red line that is half way between 200 and 210 (outer scale) and halfway between 340 and 330 (inner scale).]()",\( 345^{\circ} \),\( 215^{\circ} \),\( 335^{\circ} \),\( 205^{\circ} \),1290.0,1250.0,1290.0,,1,6,91,6,104,0.9615384615384616,5.769230769230769,87.5,5.769230769230769
593,2648,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",92,Reflection,A,"The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![Four quadrant, coordinate grid with the reflection line y=-x drawn and a triangle. The triangle has coordinates: (-2,3) (-2,6) and (0,5). The point P is the coordinate (0,5)]()","\( (-5,0) \)","\( (-4,-1) \)","\( (-2,2) \)","\( (-4,5) \)",,1990.0,1990.0,797.0,0,66,2,0,68,0.0,97.05882352941177,2.941176470588235,0.0
594,172,Add integers up to 4 digits using a written method where carrying is needed,205,Written Addition,D,"What number should replace the star? \begin{tabular}{|c|c|c|c|c|}
\hline & \( 4 \) & \( 2 \) & \(5\) & \(4\)\\
\hline+ & \( 2 \) & \(\bigstar\)  & \(7\) & \(1\) \\
\hline \(\space\) & \(6\) & \(3\) & \(2\) & \(5\)
\end{tabular}",\( 6 \),\( 5 \),\( 1 \),\( 0 \),2271.0,,1383.0,,318,230,226,807,1581,20.113851992409867,14.547754585705249,14.294750158127767,51.04364326375711
595,575,Calculate percentage of an amount mentally where the percent is a multiple of 10,233,Percentages of an Amount,D,Find \( 20 \% \) of \( 80 \),\( 8 \),\( 20 \),\( 96 \),\( 16 \),2112.0,2039.0,247.0,,465,101,46,95,707,65.77086280056577,14.285714285714285,6.506364922206506,13.437057991513438
596,1614,Simplify an algebraic fraction by factorising both the numerator and denominator,1077,Simplifying Algebraic Fractions,B,Write the following as simply as possible: \( \frac{q^{2}+q-12}{q^{2}-2 q-3} \),\( \frac{q-4}{q-1} \),\( \frac{q+4}{q+1} \),\( \frac{q-4}{-2 q-1} \),\( 4 \),1535.0,,143.0,,179,79,287,123,668,26.79640718562874,11.826347305389222,42.964071856287426,18.41317365269461
597,446,Divide proper fractions in the form: Fraction ÷ Integer,232,Dividing Fractions,B,"Calculate
\(
\frac{1}{6} \div 3
\)",\( 2 \),\( \frac{1}{18} \),\( 18 \),\( \frac{1}{2} \),1152.0,,2359.0,1156.0,594,770,124,102,1590,37.35849056603773,48.42767295597484,7.79874213836478,6.415094339622642
598,381,Convert decimals less than 1 with 2 decimal place to percentages,239,Converting between Decimals and Percentages,D,Write \( 0.15 \) as a percentage.,\( 0.15 \% \),\( \frac{15}{100} \),\( 1.5 \% \),\( 15 \% \),1965.0,,61.0,,50,52,9,268,379,13.192612137203167,13.720316622691293,2.3746701846965697,70.71240105540898
599,1030,Represent a linear inequality with a single tail on a numberline,165,Inequalities on Number Lines,B,"Which inequality is represented by the diagram? ![A number line with a filled in circle above 1with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()",\( x>1 \),\( x \geq 1 \),\( x<1 \),\( x \leq 1 \),550.0,,,1880.0,84,174,38,29,325,25.846153846153847,53.53846153846153,11.692307692307692,8.923076923076923
600,1442,"Solve basic introduction simultaneous equation problems, often involving shapes and symbols",63,Simultaneous Equations,C,"Chris orders \( 2 \) cups of tea and a cake, and his bill comes to £1.40

Amy orders \( 4 \) cups of tea and a cake, and her bill comes to £2.20.

How much does one cup of tea cost?",\( 80 p \),\( 60 p \),\( 40 p \),\( 55 p \),1417.0,,,512.0,24,10,84,15,133,18.045112781954884,7.518796992481203,63.1578947368421,11.278195488721805
601,3040,Identify a diameter,184,Parts of a Circle,B,"The straight line across this circle is called a ....? ![A circle with a line across from edge to edge, passing through the centre]()",Diagram,Diameter,Diagonal,Diamond,1746.0,,1746.0,1746.0,611,206,209,104,1130,54.07079646017699,18.230088495575224,18.495575221238937,9.20353982300885
602,401,Calculate non-unit fractions of an amount,225,Fractions of an Amount,D,\( \frac{3}{5} \) of \( 30= \),\( 6 \),\( 50 \),\( 12 \),\( 18 \),1057.0,2199.0,,,49,20,11,13,93,52.68817204301075,21.50537634408602,11.827956989247312,13.978494623655912
603,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,D,"Bob recorded the number of cars he sold in one week.
How many cars did he sell altogether? \begin{tabular}{|c|c|}
\hline Colour & Frequency \\
\hline Blue & \( 3 \) \\
\hline Black & \( 2 \) \\
\hline Silver & \( 4 \) \\
\hline Red & \( 1 \) \\
\hline Other & \( 3 \) \\
\hline
\end{tabular}",\( 5 \),\( 12 \),\( 10 \),\( 13 \),1993.0,,2111.0,,10,159,37,99,305,3.278688524590164,52.131147540983605,12.131147540983607,32.459016393442624
604,312,Multiply two decimals together with the same number of decimal places,224,Multiplying and Dividing with Decimals,D,\( 0.4^{2}= \),\( 0.08 \),\( 0.8 \),\( 1.6 \),\( 0.16 \),,2316.0,2481.0,,491,499,1098,321,2409,20.381901203819012,20.713989207139893,45.579078455790786,13.325031133250311
605,2849,Interpret a bar chart,106,Block Graphs and Bar Charts,B,"The bar chart shows the drinks sold in Caroline's Café on Monday and Tuesday last week.

Approximately how many Teas were sold on Tuesday? ![Composite bar chart with four bars, labelled Tea, Coffee, Hot Choc and Cans. Each bar has two sections, the lower one shows how many sold on Monday and the upper one showing Tuesdays sales. The vertical scale has 5 ticks between 0 and 50, 50 and 100 etc.
The Teas bar lower section is 1 tick below 50 on the vertical scale, and the whole bar's height is 2 ticks above 100 on the vertical scale.
]()",\( 62 \),\( 80 \),\( 120 \),\( 40 \),134.0,,70.0,,10,4,33,11,58,17.24137931034483,6.896551724137931,56.896551724137936,18.96551724137931
606,476,Recognise square roots,246,"Square Roots, Cube Roots, etc",B,Which of the following is the square root of \( 81 \) ?,\( 3 \),\( 9 \),\( 162 \),\( 6561 \),1850.0,,2017.0,1012.0,4,96,26,8,134,2.9850746268656714,71.64179104477611,19.402985074626866,5.970149253731343
607,575,Calculate percentage of an amount mentally where the percent is a multiple of 10,233,Percentages of an Amount,B,"Tom and Katie are arguing about working out percentages of amounts.

Tom says to find \( 40 \% \) you divide by \( 100 \) and multiply by \( 4 \). 
Katie says to find \( 40 \% \) you divide by \( 5 \) and multiply by \( 2 \).
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,308.0,,308.0,376.0,0,3,3,66,72,0.0,4.166666666666666,4.166666666666666,91.66666666666666
608,1214,Recognise a Fibonacci sequence,173,Other Sequences,C,"Tom and Katie are discussing Fibonacci sequences.

Tom says this is a Fibonacci sequence: \( 1,1,2,3,5,8, \ldots \)

Katie says this is a Fibonacci sequence: \( 1,2,3,5,8,13, \ldots \)

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,976.0,89.0,,2228.0,161,15,30,27,233,69.09871244635193,6.437768240343347,12.875536480686694,11.587982832618025
609,2239,Convert between any other time periods,209,Time,D,To work out how many hours in a year you could do...,\( 365 \times 7 \),\( 365 \times 60 \),\( 365 \times 12 \),\( 365 \times 24 \),2081.0,2401.0,443.0,,4,13,10,153,180,2.2222222222222223,7.222222222222221,5.555555555555555,85.0
610,1490,Solve quadratic equations using completing the square in the form (x + q)² + r ,65,Quadratic Equations,A,"One of these equations has no real solutions
Which is it?",\( (w+5)^{2}+25=0 \),\( (w+5)^{2}-25=0 \),\( (w+5)^{2}-5=0 \),\( (w+5)^{2}=0 \),,,922.0,1494.0,85,76,83,824,1068,7.9588014981273405,7.116104868913857,7.771535580524344,77.15355805243446
611,440,Multiply proper fractions in the form: Fraction × Integer,231,Multiplying Fractions,A,\( \frac{2}{7} \times 3=3 \div K \times L \),\( \begin{array}{l}K=7 \\ L=2\end{array} \),\( \begin{array}{l}K=2 \\ L=7\end{array} \),\( \begin{array}{l}K=7 \\ L=7\end{array} \),Not possible,,78.0,,1207.0,170,71,102,282,625,27.200000000000003,11.360000000000001,16.32,45.12
612,312,Multiply two decimals together with the same number of decimal places,224,Multiplying and Dividing with Decimals,B,What should replace the star? \( \bigstar \div 0.3=1.5 \),\( 0.5 \),\( 0.45 \),\( 1.8 \),\( 0.2 \),1181.0,,1024.0,1181.0,15,22,19,9,65,23.076923076923077,33.84615384615385,29.230769230769234,13.846153846153847
613,704,Represent written scenarios as ratios,334,Writing Ratios,D,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 3\; : 2 \),\( 2\; : 3\; : 5 \),\( 2\; : 5 \),\( 2\; : 3 \),105.0,942.0,2208.0,,340,390,230,609,1569,21.66985340981517,24.8565965583174,14.65901848311026,38.81453154875717
614,3141,Solve quadratic inequalities from the graph of the quadratic,1984,Quadratic inequalities on Number Lines,B,Use the graph to approximate the solution to \( x^{2}<5 \) ![A set of axes with the quadratic graph y=x^2 drawn on.](),\( x<25 \),\( -2.2<x<2.2 \),"\( x<-2.2, x>2.2 \)",\( x \geq 0 \),,,2043.0,,92,30,32,16,170,54.11764705882353,17.647058823529413,18.823529411764707,9.411764705882353
615,699,"Given information about one part, work out the whole",241,Sharing in a Ratio,C,"The ratio of cars to vans in a car park is \( 5: 3 \)

If there are \( 80 \) cars, how many vehicles (cars and vans) are there in total?",\( 83 \),\( 48 \),\( 128 \),\( 110 \),806.0,,,,69,5,6,5,85,81.17647058823529,5.88235294117647,7.0588235294117645,5.88235294117647
616,1137,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,171,Linear Sequences (nth term),D,"Without drawing any more terms, how many circles do you predict will be in the \( 5 \) th term of this sequence? ![A diagram showing the first 3 patterns in a sequence. Pattern 1 is a rectangle with a total of 6 circles surrounding it. Pattern 2 is 2 rectangles with a total of 10 circles surrounding it. Pattern 3 is 3 rectangles with a total of 14 circles surrounding it.]()",\( 30 \),\( 18 \),\( 24 \),\( 22 \),1055.0,52.0,1055.0,,46,1,4,5,56,82.14285714285714,1.7857142857142856,7.142857142857142,8.928571428571429
617,399,Identify non-unit fractions when part of a shape,232,Dividing Fractions,D,"What should replace the question mark? ![A bar split into 8 equal parts. 3 of the parts are shaded, and the total length of these 3 parts is labelled 3/4. The total length of 6 parts is labelled with a question mark.]()",\( \frac{6}{8} \),\( 6 \),\( \frac{6}{3} \),\( \frac{6}{4} \),1976.0,1237.0,,,7,81,13,18,119,5.88235294117647,68.0672268907563,10.92436974789916,15.126050420168067
618,373,Convert fractions to percentages containing 1 decimal place,238,Converting between Fractions and Percentages,A,What is \( \frac{13}{40} \) written as a percentage?,\( 32.5 \% \),\( 13 \% \),\( 26 \% \),\( 52 \% \),,800.0,2361.0,2361.0,0,4,62,1,67,0.0,5.970149253731343,92.53731343283582,1.4925373134328357
619,336,Recognise when to find a factor to solve a problem,219,Factors and Highest Common Factor,D,"A Zumba teacher wants to split her group of \( 60 \) clients into equal sized classes.
To do this she needs to know the _________ of \( 60 \)
Which word best fills in the gap?",Remainders,Fractions,Multiples,Factors,2292.0,2292.0,710.0,,11,44,3,7,65,16.923076923076923,67.6923076923077,4.615384615384616,10.76923076923077
620,2650,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",92,Reflection,D,This triangle is reflected in the line \( x= \) 4. What will the coordinate of the point marked \( \mathrm{C} \) on the reflected shape be? ![A positive quadrant graph showing a triangle ABC plotted](),"\( (3,5) \)","\( (6,3) \)","\( (4,5) \)","\( (2,5) \)",,642.0,,,31,5,78,22,136,22.794117647058822,3.6764705882352944,57.35294117647059,16.176470588235293
621,2253,Solve problems involving adding a period of time on to a given start time,209,Time,D,"A coach takes \( 3 \) hours \( 50 \) minutes to complete a journey from Manchester to London.

If the coach leaves Manchester at 09:25, what time does it arrive in London?",\( 13: 25 \),\( 12: 75 \),01:15,\( 13: 15 \),,1013.0,581.0,,2,4,46,6,58,3.4482758620689653,6.896551724137931,79.3103448275862,10.344827586206897
622,441,Multiply proper fractions in the form: Fraction × Fraction,231,Multiplying Fractions,D,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 3 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),\( \frac{3}{6} \times \frac{1}{3} \),\( \frac{1}{4} \div \frac{1}{3} \),\( \frac{3}{6} \div 3 \),\( \frac{1}{4} \times \frac{1}{3} \),2373.0,2542.0,,,186,1316,394,339,2235,8.322147651006711,58.88143176733781,17.628635346756152,15.167785234899329
623,3174,For a given input find the output of a function machine,649,Function Machines,C,"Cally wants to use the function machine below to solve this problem:

I think of a number, subtract 2, triple it, and the answer is \( 12 \).

Which of the following should replace the star? ![A function machine with the input box blank. The first function box blank. The second function box has a purple star in and the output box is blank.]()",\( x \),\( -2 \),\( \times 3 \),\( 12 \),931.0,77.0,,931.0,1,89,4,12,106,0.9433962264150944,83.9622641509434,3.7735849056603774,11.320754716981133
624,3211,Complete missing number mental addition problems with numbers over 1000,203,Mental Addition and Subtraction,B,"A \( 3 \) digit number belongs in this box to make the calculation true
\(
467+\square=1253
\)
What is the \( 3^{\text {rd }} \) digit of the number that belongs in the box?",\( 4 \),\( 6 \),\( 0 \),\( 3 \),1138.0,,1514.0,,70,929,27,83,1109,6.311992786293959,83.76916140667268,2.4346257889990985,7.484220018034265
625,375,Convert single digit integer percentages to fractions,238,Converting between Fractions and Percentages,C,\( 4 \% \) as a fraction is....,\( \frac{2}{5} \),\( \frac{4}{10} \),\( \frac{1}{25} \),\( \frac{1}{4} \),619.0,619.0,,329.0,293,645,321,116,1375,21.30909090909091,46.909090909090914,23.345454545454544,8.436363636363636
626,2580,"Given the area of a square, calculate a missing dimension",86,Perimeter,B,"A shape is made up a square and regular pentagon.
The area of the square is \( 144 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![Pentagon and square joined along one edge]()",\( 108 \mathrm{~cm} \),\( 84 \mathrm{~cm} \),\( 252 \mathrm{~cm} \),\( 12 \mathrm{~cm} \),2302.0,,828.0,,130,1108,121,88,1447,8.984105044920526,76.5722183828611,8.362128541810643,6.08154803040774
627,1531,Substitute negative non-integer values into expressions involving no powers or roots,67,Substitution into Formula,C,"What is the value of
\( a b \)
when \( a=9 \) and \( b=-0.5 \) ?",\( -45 \),\( -9.05 \),\( -4.5 \),\( 8.5 \),189.0,,,1900.0,791,57,61,32,941,84.05951115834219,6.057385759829968,6.482465462274177,3.4006376195536663
628,403,"Calculate the whole amount, given a fraction of the amount",225,Fractions of an Amount,D,"Here is a number card

 \( \frac{1}{3} \) of \( \mathrm{A} \) is \( 12 \)

 What is \( \frac{1}{2} \) of \( A \) ?
 ![\( A \)]()",\( 2 \),\( 8 \),\( 36 \),\( 18 \),1847.0,1847.0,791.0,,5,257,9,21,292,1.7123287671232876,88.01369863013699,3.0821917808219177,7.191780821917808
629,3319,"Solve problems involving converting between fractions, decimals and percentages",238,Converting between Fractions and Percentages,A,"Tom and Katie are arguing about percentages.
Tom says \( 45 \%>0.059 \)
Katie says \( 45 \%>\frac{16}{31} \)
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,,,,1622.0,29,39,164,59,291,9.965635738831615,13.402061855670103,56.3573883161512,20.274914089347078
